"","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9"
"43",35.83,20.2933822173358,9.96678684542621,-0.767071432180457,2.16393443400415,0.915882538635387,62.1081004397787,93.5079443892751,1.55,3.16,5.05,8.87,12.8,16.3,18.97,21.44,23.13,24.31,25.29,26.17,27.07,27.85,28.49,29,29.47,30.02,30.71,11.3013486075029,18.5355949034872,22.1026218490375,27.6406905296011,32.5394784674995,40.1133149499481,54.0045928907725,76.5629571832634,98.7347383914242
"44",46.16,22.0217993575374,12.2961138709581,0.0377267028682483,2.00914249935034,0.979459037630244,50.9336507129486,96.1845115666382,2.76,4.72,6.88,9.27,11.81,14.87,16.86,18.72,20.49,22.345,24.19,25.56,26.74,28.46,30.55,34.56,37.26,40.02,42.1,9.7133150760911,19.9131047711489,28.0780208225003,39.1814284558764,51.9788308431842,68.0498260939901,77.3355981557874,84.1924636877318,93.8480026808103
"45",41.79,13.6284533012954,8.67104596170403,0.362322759983852,2.27931852715947,0.915351181518859,49.4345486836607,93.163654408692,1.47,2.79,3.78,4.78,5.87,7.2,8.59,10.15,11.83,13.45,14.92,16.0300000000001,17.19,18.42,19.64,21.01,22.98,26.6,29.63,17.0904342148221,34.1116552399608,47.2425726412014,63.0871694417238,79.6043095004897,88.37740777016,94.1900097943193,99.7140058765916,99.7140058765916
"46",35.67,18.3768082615162,9.23009961023215,-0.356835128514443,2.09536364500764,0.968010397566149,58.0025527156887,95.9040516450249,2.37,4.04,5.62,7.89,11.01,13.87,16.15,17.93,19.04,20,21.18,22.25,23.45,24.46,25.4600000000001,26.4,27.52,29.03,32.15,8.33131151172481,18.72804565449,24.3504678319392,30.6807033829471,39.5890252006878,56.1313937910737,72.4617348284265,88.6211879872151,94.8723087796285
"47",37.8,19.0727052946494,8.50851188039068,-0.530290584348196,2.38941112171985,0.941109825610251,58.5897089387401,95.6662348434719,2.58,6.09,8.73,10.85,12.74,15.03,16.81,18.57,20.02,21.05,22.17,22.96,23.69,24.55,25.57,26.62,27.62,28.82,30.272,6.74122745701104,12.6669462696305,21.1771284775619,30.1896640104385,40.9003215434084,58.1061559252528,79.1453469406776,94.9130900787548,99.0512139428678
"48",39.06,23.112011273491,6.69435627321484,-0.788443454776125,4.03682512601322,0.880097242051033,54.610052558843,99.0663460178243,10.33,14.79,16.84,18.62,19.83,20.77,21.62,22.41,23.06,23.72,24.37,25.08,25.8,26.59,27.55,28.5,29.55,31.19,33.08,1.60398711587011,3.58122225124053,6.26033777313485,11.6566553495256,23.5265952816227,47.8149212152868,73.9205188473927,90.1127361365021,98.770349090276
"49",53.87,27.3480271786597,8.43393668075326,0.44101508457289,5.31952837041034,0.787908342083485,39.1381581869051,98.775776057318,15.606,21.06,22.71,23.34,23.85,24.28,24.71,25.16,25.65,26.16,26.66,27.25,27.74,28.32,28.95,29.84,33.962,38.4,46.27,1.81489815253434,3.10279488394126,5.34699194694458,11.084793936523,57.3809805779252,83.183325438181,89.3415442918048,91.4066200852676,97.2717314069162
"50",53.37,25.2901594818978,8.23700006472563,-0.612902971970601,4.77942124063992,0.837928296656452,53.1140338364098,97.6833756526205,7.6,15.97,19.85,21.32,22.21,22.93,23.72,24.41,25.07,25.68,26.29,26.91,27.62,28.52,29.38,30.67,32.17,34.39,38.52,3.78168642387412,6.52772428353376,10.0326671516811,20.1295273961855,58.2545184804782,84.6164819332107,93.5065120326386,98.7617865650989,99.5435157843683
"51",39.97,21.9929204496576,12.5725199372195,-0.556740792382859,1.85371617449919,0.935506172748573,58.6275444368236,87.8192534381139,0.46,1.46,2.79,5.71,10.56,16.12,19.33,21.53,23.47,25.54,27.86,29.82,31.22,32.19,33.01,33.6,34.19,35.11,36.63,17.9539641943734,22.5203441060219,26.1043943269007,29.8418972332016,36.3822366891421,45.9486166007905,55.2662171588003,68.8502673796791,93.1388049290863
"52",40.58,24.093946462527,10.0591341688549,-1.07485433843842,3.26390105164663,0.91257199909336,63.9548226345813,93.8643367648023,1.32,4.84,10.9145,18.42,20.91,22.35,23.76,25.11,26.14,27.05,27.78,28.38,29.21,30,30.86,31.71,32.82,34.19,36.16,9.14381259938036,12.707571758766,15.8484008983165,17.8564988607118,23.3250823729981,36.7785190892251,60.183925380719,83.1893513433766,95.6641476648689
"53",49.67,26.778741966581,11.2030017953134,-0.510190629761189,2.7479309118771,0.947452259738157,59.5831385837813,97.0013437719093,4.5815,9.88,13.9,17,19.6,22.1,24.78,26.65,27.76,28.61,29.71,30.75,31.65,33.18,34.82,35.94,37.54,39.67,43.5185,5.28314564071104,10.0389991674335,16.386953536947,25.5451849904328,35.0904868323036,55.4021880431766,74.8521098987774,90.0997619151951,95.92042417072
"54",33.7,11.6217438538456,10.1032004612537,0.566316831768213,1.83835875790533,0.924307907562501,40.8164799639125,82.546425080821,0.41,1.12,1.72,2.28,2.81,3.41,4.03,4.81,5.87,7.54,9.28,12.2200000000001,16.09,19.4650000000001,21.05,22.64,24.76,27.55,29.54,29.6510243719065,47.8353486623645,57.0879017605413,61.8607856650586,65.9632855084268,72.3438381053819,82.513626965729,88.9280120293215,96.6042227930581
"55",39.25,21.046968385223,8.84880687387965,-0.642756930842039,2.74714462153633,0.935129949077541,58.8027452503839,95.7045341028914,2.74,7.25,10.6,13.102,15.91,18.06,19.55,20.794,21.9,23,23.968,24.76,25.65,26.38,27.16,28,29.12,31.16,33.61,5.98453455675596,11.047802279118,17.4393221844014,24.6633121207637,35.2264318484535,52.7582507029747,76.9923782743821,90.3562971733018,98.0131715258251
"56",41.45,27.2481865137523,9.06136502656272,-1.21070938711825,4.23776152877244,0.894529332264799,56.6527696751519,96.6462243344385,6.39,15.68,19.52,21.57,23.03,24,25.15,26.32,27.67,29.19,30.6,31.77,32.69,33.45,34.3,35,35.76,36.43,37.33,4.18480890179003,5.82685904550499,7.88013318534961,10.556646461197,17.9800221975583,33.8840035288426,49.3525712171661,68.1706935314039,94.9087908022425
"57",35.89,17.9579856038471,9.47805149586049,-0.31094029904818,1.84179899202356,0.968053460064192,54.927562697833,94.7178597516435,1.85,4.08,5.87,7.42,9.24,11.47,14.28,16.08,17.93,19.65,21.43,22.81,24.03,25.06,25.95,26.86,28.14,29.39,31.05,8.77022111975164,19.2129171675975,28.5705589627307,35.1417570878544,45.0350778408486,55.3438541492292,70.3215595562387,87.2274048485033,98.1342545388139
"58",42.18,20.7993395112383,11.9086364758246,-0.297653409299906,1.88089890617853,0.957610928287936,55.613153733763,89.1779917138683,0.3,1.53,5.24300000000001,8.52,11.05,13.186,15.907,18.97,21.02,22.44,23.85,25.402,28.14,29.57,31.29,32.8,34.06,35.43,37.05,13.8805492174052,19.8550898682999,28.9119730995557,36.5017413234058,45.1943477042552,59.8154597494095,69.8630959529242,83.9938353148393,97.2218886353629
"59",33.74,13.4196161681407,6.03163792616821,-0.288762368471827,3.25940420318311,0.871584562436902,58.5560965914737,94.0127198648514,1.61,3.84,6.33,8.28,10.21,11.42,12.38,13.2,13.96,14.56,15.08,15.56,16.08,16.56,17.15,17.81,18.74,19.94,21.7345,9.12546583850932,15.8385093167702,24.767701863354,41.9180124223602,72.8149068322981,91.3689440993789,97.6,98.6509316770186,99.0534161490683
"60",42.68,19.3636904266556,10.6844010626173,0.490002348853497,2.20939675777404,0.952089780972079,39.7320999903978,98.1851934833403,4.11,7.15,9.19,10.67,11.81,12.64,13.32,14.23,15.46,16.8,18.16,19.3,20.82,24.34,26.96,31.12,34.43,36.96,38.83,5.31967672241338,13.3424021765224,31.3371209090182,50.9914379451068,65.7197727454589,72.4285828598864,78.444426662399,84.4522685444507,93.6448747699448
"61",42.84,21.8774555497806,10.0402457485434,-0.371434392096729,2.13198196090643,0.955801250374205,54.6783024911462,97.6913686195351,3.93,6.62,9.09,11.99,14.47,16.59,18.39,20.11,21.77,23.53,24.84,26.03,27.55,28.7740000000001,29.87,31.06,32.89,34.69,36.17,5.61572305758352,14.0102983126239,21.8162258859933,31.3482086737901,44.0542957984818,58.537204467437,75.5052458540831,88.7286660542475,99.546729197892
"62",56.97,31.0025172019783,12.3531528685778,0.120616836830369,2.76088271366177,0.941210985105403,43.5866854602624,98.9132519870891,10.44,16.32,19.55,21.88,23.55,24.83,26.21,27.16,27.98,29.12,30.4790000000001,32.45,34.6,36.43,39.03,41.11,46.07,48.9,54.16,2.36701196016614,5.57307044321006,10.8058516405611,22.3148009141103,47.3402392033228,63.9743782214883,76.6760079400824,84.3483627750254,91.8105389581144
"63",36.22,17.0298437616693,8.34808435100218,0.0183187828349195,2.36945837050383,0.959121745773593,51.0836606969484,96.406219659741,3.134,5.57,7.51,9.41,11.01,12.34,13.54,14.66,15.97,17.27,18.52,19.68,20.83,21.81,22.71,23.81,25.45,28.41,31.79,5.97478640138615,14.3424747565275,24.4323952918683,39.3245503973233,53.4026408555894,69.603274182948,84.7224711716556,90.5075581047978,96.340443329151
"64",41.21,22.9336430628609,8.67572954842623,-0.816956567727913,2.89222451744961,0.906899219936812,57.5685871519937,97.7392268480333,4.67,9.51,12.78,15.84,18.02,19.7,20.87,22.2,23.9,25.24,25.98,26.72,28.02,29.13,29.85,30.61,31.43,32.38,33.64,4.50132511222889,8.71734544864514,14.3936935475147,21.1233706528206,33.8268700308291,47.6296716966845,68.33928281681,92.5306939261182,99.8134025636865
"65",46.14,19.6028360839435,9.8571400845288,0.550568989878629,2.49181445280999,0.919876444488326,39.9112261882745,98.9882396457751,6.37,8.8,10.22,11.24,12.11,13.16,14.32,15.31,16.26,17.33,18.37,19.58,21.07,23.47,27.77,30.71,32.35,33.83,36.58,3.16586522770295,11.1555952044213,32.9260862943058,55.4515981635806,69.5456820209317,74.8754324506625,84.8636828477556,95.3480275898083,97.6065623708088
"66",38.09,17.7730997978902,11.1349135609004,-0.0219425245379147,1.54004137051152,0.960583061015869,49.2470176476388,93.5312530809425,1.51,3.123,4.59450000000003,5.73,6.74,8.1,10.37,13.23,15.44,17.5,20.37,23.28,25.65,27.01,28.41,29.88,30.99,32.15,33.71,11.8642396756344,28.4731893077653,36.5391962338094,44.5509779032079,53.0815966873298,59.2349309244174,68.7070973466596,82.65284744217,97.6301098061447
"67",36.24,14.9008880510794,9.33968817200308,-0.175535030036955,1.96416580966198,0.918197892940719,56.6810580723624,83.3651565825479,0.12,0.53,1.48,3.58,6.84,9.61,11.59,13.71,15.43,16.65,17.77,18.56,19.46,20.54,21.74,23.58,25.41,26.72,28.07,20.0926736719206,25.8951157812804,33.1205000972952,42.2212492702861,57.036874878381,75.0060809496011,84.8195174158397,96.5630472854641,98.5040863981319
"68",59.98,21.6446208499336,11.6136601001291,0.274920644947235,2.79629603522725,0.898443580010225,48.2682602921647,95.0225763612218,2.03,5.39,9.24,12.04,14.1975,16.2,17.86,19.22,20.51,21.38,22.17,22.84,23.64,24.7,27.5,32.53,35.79,38.9,41.25,10.7956280959907,19.9126150413684,35.4546541122724,67.0141701749027,76.6955736463964,85.4433657817501,96.221729372236,98.6068872096575,99.4528479793888
"69",32.68,12.5687008941758,7.55251553117588,-0.227280565004966,1.8173046502747,0.908993302363374,55.5154265460111,86.0691173706399,0.26,1.02,2.38,4.09,5.71,7.49,9.29,11.15,12.76,14.19,15.21,16.1,16.87,17.81,18.72,19.66,20.72,22.15,23.38,17.9683409191606,27.4016192048979,36.4347954511889,45.9177508357836,61.7848847357044,79.6901223130731,92.763255058337,99.5260536244143,99.9785180113049
"70",35.15,20.2755665555773,10.4748597267668,-0.607293373369408,1.99005020087586,0.953268871437083,60.2443148402274,92.0824348167026,1.14,2.96,5.27,8.17,11.69,14.745,17.55,20.41,22.3375,23.98,25.28,26.24,27.43,28.17,28.89,29.7,30.63,31.51,32.61,11.1254058690192,18.2111131532194,23.6329106169209,28.7226612755008,35.0266495129572,41.7129204190406,52.0480303865711,69.5925993996202,90.5948661398027
"71",41.65,18.0495848579602,9.00985771467202,-0.0987296851485618,2.28731698791597,0.937678074892714,53.1594704277826,96.65624376289,3.14,5.34,6.94,8.45,10.63,12.98,14.54,16.26,17.6,18.81,20.38,22.02,23.07,23.92,24.8,25.93,27.3,28.51,30.92,6.88586103201426,19.6330201985257,28.585304840727,41.3298028049073,56.2471724725231,76.0811134470554,92.0030869947042,97.0593714240094,98.433882428081
"72",35.78,18.0794999823065,8.62469731215772,-0.297061404650648,2.30475691971112,0.968314547704325,53.4248675938049,95.0104391521285,2.01,4.92,8.04,10.49,12.08,13.8,15.1,16.31,17.66,19.08,20.05,21.16,22.21,23.53,24.75,25.908,27.27,29.15,30.93,7.7109087477588,13.6960932339341,20.7641313579315,31.8380201943946,45.8419835802586,61.5740303859583,76.384825894121,89.0086817023686,96.6724072850807
"73",40.58,14.3748958824651,9.67425569619402,0.867385150772518,3.05416202310416,0.935584762942162,38.1968348269391,94.912039499433,1.97,3.57,4.96,6.19,7.45,8.5,9.42,10.42,11.44,12.3,13.25,14.09,14.9690000000002,16.49,19.18,23.42,25.42,29.4,35.04,11.556255833325,27.9929347771544,49.3391407324147,69.1498650181147,76.032435795791,82.0730006121855,89.2094778358741,93.0592214204711,96.5065283060526
"74",46.02,16.5026821568253,8.98567613561309,0.424586980461561,3.12240834674754,0.90504132222432,47.9082253345532,96.4327726445541,2.82,5.26,6.83,8.02,9.32,10.57,12.19,13.45,14.47,15.86,17.44,19.11,20.88,22.19,23.39,24.46,25.3,27.11,29.77,8.26965614317314,24.6521214558617,41.7172732756887,57.9911522219988,73.1459883370199,91.39352503519,96.9565654534486,97.67343655741,98.5431329177559
"75",32.03,17.5918861739719,7.02975416614607,-0.314026406105291,2.6295720061213,0.945195500604246,54.1402902037441,97.9655664987595,4.36,7.77,9.95,11.78,13.08,14.09,15.06,15.99,17.38,18.38,19.22,20.07,20.86,21.64,22.42,23.72,24.88,26.27,28.85,3.23138457837123,7.53037411283532,13.9901359316733,23.8256345482978,40.087814266811,54.9816552387826,75.0436063996151,87.901479610249,94.9792493684591
"76",59.46,19.8705116256174,13.0933315274908,0.96877864171786,3.6483617456272,0.924329686553495,41.5256879379092,96.0028223093711,2.44,4.82,6.91,9.18,10.74,12.1,13.51,14.93,16.64,17.89,19.08,20.23,21.71,23.66,26.4750000000001,29.04,31.06,40.83,48.9289999999999,12.7711594630961,29.2737356831085,49.7128417183552,70.3587017163861,82.1239867414919,88.4890551672082,90.7223261461718,94.2010436152407,97.5534114403859
"77",44.69,20.8896313490395,11.1313000738446,0.250017432251053,2.35345755028951,0.968951171876767,46.8572368541297,96.8947050975088,3.26,6.15,8.52,10.66,13.08,15.04,16.49,17.69,18.82,20.05,21.36,22.88,24.04,25.21,27.49,30.25,34.96,38.77,40.66,7.27993858751279,15.94348588975,25.7749671004533,40.8685480333382,58.0640444509431,73.8338938441293,81.0315835648487,85.7855680655067,94.0269045182044
"78",48.46,15.6332522910412,11.602485887636,1.06869238329294,3.50498376168839,0.925561901307727,39.9312687628377,94.4047242850371,1.67,3.84,5.35,6.25,7.08,7.9,8.76,9.83,10.92,12.56,13.96,15.6,17.36,19.14,21.33,24.12,27.79,32.43,42.54,12.7846576208252,39.4284134226067,56.8683217791472,70.5871896664099,80.2295036637633,85.8841421263653,91.2642452252573,93.1662420256365,95.5284311982777
"79",37.07,15.9493331042439,8.52895979798885,0.365380050915369,2.53659583948396,0.952127716874473,45.8027539824747,96.4937041309737,2.93,5.27,6.93,8.52,9.76,10.85,12.14,13.2,14.3,15.17,16.14,17.18,18.35,19.61,21.17,22.76,25.65,29.23,32.35,6.46899277132092,16.3706876449724,31.1999116358415,47.8590100759686,65.8214798541991,78.3790086032327,85.5291417631104,90.6653084768228,96.7599808544323
"80",34.84,18.4297432536836,7.89115526034208,-0.605621385915414,2.58610173784816,0.942895139946507,59.2654930743336,96.0901716240826,2.7,5.92,8.72,11.086,13.55,15.23,16.79,18.25,19.42,20.36,21.07,21.8,22.52,23.38,24.06,25.2,26.04,27.09,29.1,6.00140722652208,12.0428238345543,18.7768166328656,25.7894954679028,36.9410758384725,53.8057199619221,76.6662527765131,92.203689140902,98.220272339721
"81",35.7,18.3801627144021,9.04488348132991,-0.312693240829114,1.99762436717694,0.96894072051803,55.2227139617324,95.4697580201246,2.41,5.46,7.49,9.21,10.74,12.63,14.45,16.58,18.44,19.77,20.95,22.28,23.7,25.02,26.29,27.3140000000001,28.32,29.32,30.83,6.82020851452666,14.0158312507569,24.9226602666432,34.468750344038,43.1208921867603,56.880208734711,69.8688802527716,86.2979313685555,97.5933856638006
"82",44.4,22.3408500871793,11.9839047587488,-0.0403480359742669,2.06659500997234,0.969908201766516,48.7444994010129,95.7371099170907,2.35,4.76,7.14,10.56,14.44,16.58,18.32,19.53,20.93,22.08,23.05,23.97,25.65,29.54,33.04,34.95,37.12,39.34,41.35,9.33481994591261,17.8690041277222,22.7475447169901,33.2483275608483,50.5657826066328,66.5405418228401,71.6610523319258,81.4418560516202,91.5346111875504
"83",42.43,19.121759147149,11.1272867128704,0.162994684979231,1.89353844263371,0.964538383982711,45.2362934655114,94.4927920087782,1.71,4.62,7.48,9.26,10.43,11.69,12.65,13.88,15.18,16.805,19.32,23.01,25.26,27,28.18,30.11,33.58,35.29,37.12,9.23709974932602,17.304072269782,35.324220782292,50.3816866102256,57.555692191269,65.6198268930615,79.2962209714799,85.7200964858346,97.0524523482949
"84",52.52,23.1394218368497,12.1317339020617,-0.0781720987924802,2.40956377314348,0.95280221697039,55.2870468916296,95.5028276883908,2.27,5.09,7.48,10.36,14.79,17.48,19.48,21.52,23.21,24.43,25.54,26.85,28.12,29.68,31.74,33.59,35.34,37.31,43.24,10.326909231299,20.2270521823513,26.3457745964502,38.575915356282,58.0736041403633,74.401327253566,88.7715600446592,94.3236954412179,97.0606342018218
"85",31.15,18.4675294478259,7.43823329491475,-0.715791971701637,2.6311470329,0.939824264405448,57.4812803783334,96.6392258177519,3.35,6.92,9.58,11.86,13.82,15.19,16.43,17.72,19.21,20.44,21.43,22.26,23.02,23.62,24.21,24.85,25.71,26.72,27.98,4.75116589670046,8.83454119501675,14.4549296083025,21.2817200534232,31.5306636305914,43.1611674293346,57.2964333413614,80.4589144571191,95.218181420095
"86",52.54,28.6704512739312,9.91290922815208,-0.197233019804942,3.62097640735356,0.899156548082614,50.2746989108008,98.2366489131999,11.1,17.29,19.73,22.09,23.8,24.81,25.78,26.88,27.82,28.72,29.65,30.53,31.32,32.03,33.05,35.19,38.26,43.47,47.15,2.64745750512817,4.71672084737833,8.15949521970179,17.3914086585176,37.1351798759642,66.42035435385,83.1927833691206,88.6508403008529,95.2245000779722
